,data_A,data_B,inputs
0,0.0,0.0,0.0
1,0.05002915670857863,0.09993301616303926,0.001001000833833341
2,0.09993301616303926,0.19886553633749857,0.0020020006646609234
3,0.1495865949143112,0.2958070811665539,0.003002998489477993
4,0.19886553633749857,0.38978710427372076,0.004003993305281807
5,0.24764642208113616,0.4798647090490943,0.005004984109072635
6,0.2958070811665539,0.565138068592027,0.0060059698978547705
7,0.3432268959632157,0.6447534545009243,0.007006949668637528
8,0.38978710427372076,0.717913784116926,0.008007922418436255
9,0.4353710967719027,0.78388660064933,0.009008887144273335
10,0.4798647090490943,0.8420114062884005,0.010009842843179184
11,0.5231565075371343,0.8917062748888882,0.011010788512193274
12,0.565138068592027,0.9324736780202824,0.012011723148365119
13,0.605704250039292,0.9639054660553243,0.013012645748755292
14,0.6447534545009243,0.985686954427788,0.014013555310436422
15,0.6821878838444657,0.9976000741492778,0.015014450830494208
16,0.717913784116926,0.9995255550431251,0.016015331306028415
17,0.7518416803501158,0.9914441198375697,0.017016195734153878
18,0.78388660064933,0.9734366771633683,0.01801704311200153
19,0.8139682890041527,0.9456835115235996,0.019017872436719367
20,0.8420114062884005,0.9084624783454199,0.020018682705473478
21,0.8679457189458079,0.8621462221843063,0.021019472915449058
22,0.8917062748888882,0.8071984459311994,0.0220202420638514
23,0.9132335661704393,0.7441692683739977,0.02302098914790688
24,0.9324736780202824,0.6736897165919457,0.024021713164864008
25,0.9493784238739756,0.5964654083232273,0.02502241311199439
26,0.9639054660553243,0.5132694875557879,0.026023087986593762
27,0.9760184218104399,0.4249348840678924,0.02702373678598298
28,0.985686954427788,0.33234597441331465,0.028024358507509013
29,0.9928868492160164,0.23642972783858707,0.02902495214854598
30,0.9976000741492778,0.13814642577643546,0.030025516706496138
31,0.9998148250281604,0.03848004782872783,0.03102605117879087
32,0.9995255550431251,-0.06157157950873298,0.03202655456289171
33,0.9967329886664036,-0.16100677275189493,0.03302702585629135
34,0.9914441198375697,-0.2588300199490208,0.034027464056514634
35,0.9836721944473249,-0.35406194741393143,0.035027868161119566
36,0.9734366771633683,-0.4457491248883234,0.036028237167698304
37,0.9607632026814362,-0.532973610967149,0.03702857007387818
38,0.9456835115235996,-0.6148621432214489,0.038028865877322716
39,0.9282353705446159,-0.6905948810101928,0.03902912357573258
40,0.9084624783454199,-0.7594136134510215,0.04002934216684664
41,0.8864143558306506,-0.8206293503744214,0.04102952064844295
42,0.8621462221843063,-0.8736292202632362,0.04202965801833975
43,0.835718856574146,-0.9178826061176496,0.04302975327439649
44,0.8071984459311994,-0.9529464578154061,0.04402980541451477
45,0.776656419185614,-0.9784697277816927,0.04502981343663945
46,0.7441692683739977,-0.9941968855602381,0.046029776338759563
